helpful,unixReviewTime,reviewerID,reviewText,reviewTime,overall,asin,summary,reviewerName
"[0, 0]",1363564800,A1M3135PBJRBKR,"Good filter, does the job.  Using this on my Canon 24-105mm Lens, no problems. ... ... ... ... .. ..","03 18, 2013",4.0,B00004ZC8Y,Good filter,"Aaron P ""Aaron P"""
"[5, 6]",1296172800,A2JLZ5MAY50O2B,"this thing eventually fell apart and after pretty minimal use...filters should simply not fall apart or should have a lifetime warranty, will never buy from this company again.UPDATE: Called customer support and they are either going to fix or send me a new one at no additional charge.  Spoke directly to a customer service rep, he took the initiative for this course of action...great customer service, back on the Tiffen train.","01 28, 2011",4.0,B00004ZC8Y,Fell apart,A. Chesbrough
"[3, 3]",1360195200,A394CFIQH570SM,I really like this polarizer.  Works greatest when you are 90 degrees to the sun.  It works great to make the sky a nice darker blue during the middle of the day.,"02 7, 2013",5.0,B00004ZC8Y,Tiffen 67mm Circular Polarizer,acousticmany
"[0, 0]",1368921600,A3HIZRE3I7X6UV,I use this on my 18-55mm kit lens and it works well with no issues. Tiffen is known for making decent quality filters.,"05 19, 2013",4.0,B00004ZC8Y,Works well with decent build quality,"A. Craig ""Surf Striper"""
"[0, 0]",1371081600,A2LR5XNV31DY0J,"Great fit on my new 55mm lense.  Arrived as described, on time and the price is great, as well.  Excellent choice.","06 13, 2013",5.0,B00004ZC8Y,Perfect Polarizer Filter,adrian rodriguez
"[0, 0]",1314662400,A4FZVGMFSY49H,This is a good reasonably priced filter for any camera.  The polarizer filter works well and is a good addition for special occasions requiring a polarizing filter.,"08 30, 2011",4.0,B00004ZC8Y,Good filter,"agedrunner ""agedrunner"""
"[0, 0]",1221091200,APIH22980J9D1,"I use this (Tiffen 67mm Circular Polarizer) with my Tamron 17-50 mm lens(with hood) and I am much happy about it. Its costly (amateur photography) but well worth the price and it gets the job done (protection and polarizing). Smooth movement and all and not a bit loose.Though I should mention that the outer rim cuts seem to get dented by slight nail pressure, but doesn't affect the polarizer or the lens.","09 11, 2008",5.0,B00004ZC8Y,Good polarizer and protection.,AJ
"[0, 0]",1398038400,AFRKU8S84R598,"It's must for anyone serious about outdoor and landscape photography.  It's a great product. One criticism I have is about the container, which can be smaller, therefore not taking up too much space in your bag. I replaced the container with an old much more compact one.","04 21, 2014",4.0,B00004ZC8Y,Great,A. Khan
"[509, 519]",1258761600,AQF43LVMM6IMK,"I have had many polarizers over the years. I have used filters such as this for over 25 years. I like the Tiffen as it is not too dark for most uses. I keep it on for almost every shot (unless it is night time or quite dark) to protect my lenses and for it's mild polarizing effect. (I take 1000s of images on a shoot, mostly landscape) Some other brands are too dark to do this. The dark ones many times look too polarized, and post processing has to take much of this out anyway. I do have a few of these and use them occasionally. I have found that an image that is properly balanced that does not need too much darkening or lightening post processing is much better,  I have a Hoya but it is always falling apart (and way too dark). I have Heliopan 77mm Circular Polarizer Lens Filters and like the quality, but again they are too dark to keep on all the time. The Heliopan is the one I keep for special uses when I want more polarizing effects than I get with the Tiffen. The Tiffen polarizers I have had only were replaced when they became too scratched for use, broken from being dropped or run into things, or lost over board in my boat. As I said a couple of Hoya ones were replaced because they fell apart.I use a Canon 5D with all high end L series lenses (most costing well over $1000.00) and have sold over 1300 framed GiClees ($300-$800 each). I feel that this filter does not compromise the quality of my images.So in review. I don't want an unnatural appearance due to my filters. I do want the pleasing effects I can achieve with the Tiffen filter. I have never had a problem with any I had purchased, so recommend them to others. And I will continue to use them myself.Albert Mach Fine Art","11 21, 2009",5.0,B00004ZC8Y,Does exactly what I expected!,"Albert C. Mach II ""Albert Mach Fine Art"""
"[0, 0]",1372982400,A2OGQ7879TQU1Z,"The construction of this filter is very acceptable, not B+W league but close. The performance is also great with no color cast perceptible. I highly recommend this product to anyone looking for an affordable polarizer.","07 5, 2013",4.0,B00004ZC8Y,Great polarizer,Alex
"[2, 2]",1357689600,A1EAPQ18XBQFSY,Good:  Everything is good on this product.Bad:  I have no complaints to say about this product shown in the picture.,"01 9, 2013",5.0,B00004ZC8Y,Great,Al
"[0, 0]",1369180800,ATLHK23MET0CD,"I really like this filter and the opportunity to really enrich a photo by eliminating the glare.  With that said, at first I was not sure that it was working correctly, as I was not getting the results I was expecting.  I then realized I had no idea how to use it!  So for those that may not know, you need to the 90 degrees to the light source in order for the polarizer to work, or close to it.  Once I learned, I really like it!I would and have recommended this product!","05 22, 2013",5.0,B00004ZC8Y,Tiffen has always made great products that offer a great value to the enthusiast!,"Amazon Customer ""Golfaholic"""
