reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
AS4OBVOA50B8I,B000I68BD4,1212,"[0, 0]",The design is near perfect for listening without the hassle of continually trying to maintain in your ear... The qaulity of these ear phone are excellent.,4.0,Ear phones,1371772800,"06 21, 2013"
A3BFQGSCCQ8U5O,B000I68BD4,1ruger4570,"[0, 0]","These little ear buds are great.  The sound is really good and they are actually durable.  I go on a lot of business trips (flying) and so I like to bring along some of my own ear buds for better sound quality and to save myself 2 bucks.  These ear buds have been exactly what I was looking for: very inexpensive, great sound and have lasted for nearly a year now with no failures.",5.0,Great sound,1356307200,"12 24, 2012"
A2G8XFQCGRWM12,B000I68BD4,3jax,"[0, 0]","My son liked the colors, the sound, and the fit.  I bought them to go with his ipod otter box that had similar colors.  He was very happy with both.  He wanted Beats which were too expensive but seemed to like these just fine.",4.0,Good value,1360022400,"02 5, 2013"
A3USCANU4TC368,B000I68BD4,5frank5,"[0, 0]","I'm a careless person and usually obliterate earbuds in less than a month. These however, lasted 6 months (pretty good i spent less than 9 dollars on it). I loved the sound and it was comfortable.",5.0,low price and surprisingly durable,1311811200,"07 28, 2011"
A1RTQROTWR5NCB,B000I68BD4,808TREX50,"[0, 0]","Fits in ears with a tight sealed comfortable fit. I can hear partial traffic noise while walking home. The right side went off after 3 months of use. So , I bought a pair of buds from another company to replace these.",3.0,Noise Isolation,1363392000,"03 16, 2013"
ALVO51HPY14QX,B000I68BD4,8921,"[0, 0]","Needed another set and came across this.... For the price, it was worth the try and I can honestly say that these aren't bad at all. Decent sound quality with a good balance of treble and bass.... As far as the noise reducing factor.... Well, for the price, it isn't bad at all either... But keep this in mind..... Do not compare these to Bose earplugs because you will probably hate these... But for 100 dollars Bose, you expect perfect sound and noise reduction. I actually used these while I was vacuuming, and they actually held the sound out pretty well... Again, for the money, it's worth the try for yourself.",4.0,Not bad at all.,1386892800,"12 13, 2013"
A2XOCDETTAKRBB,B000I68BD4,"Aaron P. Bell ""Satirical Rogue""","[0, 0]","While the clich&eacute; title of this review might imply this product is clich&eacute;, don't make that mistake!This set of headphones offers excellent sound blocking with the flexible earplugs, the cord is plenty long, and for the price, you simply cannot go wrong here.Especially if you are upgrading from the default iPod earphones, or a cheap equivalent, you will be quite impressed when you can, once again, catch all the subtle, quieter nuances of your favorite songs.",5.0,The best bang for the buck!,1191628800,"10 6, 2007"
A2BZM4OTUQATSS,B000I68BD4,Achimel,"[1, 1]","I can't believe I never reviewed these earphones! I first got this pair 3.5 years ago, but they had a slight defect and eventually resulted in the left earbud not working. When I contacted JLab Audio support, they were extremely friendly and immediately shipped me a new pair (which fixed the previous issue as I noted that they reinforced the structure). Since then, I have been using this pair frequently, either keeping it on my desk for use at any time or storing it in my backpack for when I go on trips.Pros:Durable!Decent sound quality (great for the price)Looks decentGreat customer serviceCons:Just the mishap with the first pair, but I haven't encountered any issues with my current one!",5.0,Still Using 3.5 Years Later,1398124800,"04 22, 2014"
A104QGECCAFCI9,B000I68BD4,A. Cohen,"[0, 0]","Good sound and actually does keep out some sound (its not like BOSE noise-reduction, but for the price, one does not expect that).  Not great for working out as the buds do come out of the ear, but they nonetheless fit very comfortably.",4.0,surprisingly good for the price,1377129600,"08 22, 2013"
A2TBXPS5V52858,B000I68BD4,adam dunn,"[0, 0]",I have some good ear buds that are significantly more impressive than these. but I use these more so i don't tear up my good ones. They are decent for an ear that doesn't know the difference. I am a musician and work a sound board. I know,4.0,good for someone that isn't an audiophile (good for the price),1372377600,"06 28, 2013"
A2MMFMWVQP6QFA,B000I68BD4,Adam,"[0, 0]",for a cheap pair of headphones i'm a big fan of these. i'd definitely recommend these to anyone looking for a comfortable pair of ear buds at a good price.,5.0,big fan,1373328000,"07 9, 2013"
A3J14CB3N89NW4,B000I68BD4,Adam,"[1, 2]","I'd rather use the earphones that came with my iPod than use these.  It takes some real maneuvering to get them to stay in the ears.  Once they're in and secure, the sound quality is average.  I listen to different types of music and didn't hear anything great about these ear buds.",2.0,Waste of money,1171756800,"02 18, 2007"
AG6HMXP6W2SRF,B000I68BD4,Adelmo Quintana,"[0, 0]",I can only give one star because i wanted these ear buds just for the colors....... I'm a Pittsburgh Steeler fan and I never got to enjoy this product because Amazon could not deliver them to my place of business. which really sucked for i have recieved many items from Amazon. it does not make sense,1.0,an unforgetable experience,1357689600,"01 9, 2013"
