reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A1G25CG7UWQ3XO,B000TG4BA0,&#10003;Onodageg,"[0, 0]","I have been using a Dell Bluetooth notebook mouse for over a year. I elected to try this one because of Microsoft's reputation and because it was on sale.Pros--Comfortable for a small mouse-Responsive movement.Cons--bad battery life - my Dell lasted 2-3 months, this lasts about 2 weeks.-No forward button -my Dell has both forward and backward buttons-No visual indication it's on -the red on other mouse assures you it isn't dead. (though I realize laser's aren't visible-how about another LED???)-No confirmation of connection -other bluetooth items flash the blue light (or something) that let you know it's connected when turned on. It does glow green when you use the power switch to turn it on.-VERY SLOW to connect when dormant. When I first 'wake-up' the mouse after sitting, it can take over 20 seconds to connect. My Dell mouse seldom took over 5 seconds.-scroll wheel center button is too sensitive. I'm always clicking the center button by accident when scrolling and it's annoying.This time last year there were very few choices of a bluetooth mouse for a laptop and all were expensive. There are now more choices and the prices are coming down (a little late in my opinion). I never liked the RF dongle sticking out of my laptop and ending up breaking one before deciding to go bluetooth. My laptop has it built in, so why not use it?If you get a good price on this one and aren't trying to game with it you will be ok. Otherwise wait for the next model.",3.0,Almost a good bluetooth mouse,1221523200,"09 16, 2008"
A30IC78OWIW5OW,B000TG4BA0,aaron,"[0, 0]","I have owned this mouse for almost 6 months, and I use it whenever I travel.  My favorite parts are the fact that I don't have to carry a separate dongle to get mangled, and the fact that it has an on/off switch so that it doesn't run the batteries down in transit from inadvertent button pushes.  Works on nearly every surface, fits my hand well, and is very responsive.  I use it with an ASUS netbook, and it picks it up instantly whenever I turn it on.  Would def. order another or recommend to a friend.",5.0,Fantastic!,1339545600,"06 13, 2012"
A1U6J23NNFTFN2,B000TG4BA0,Aaron M,"[0, 0]","I have been using this mouse for over a year now, so it's not so terrible that I would throw it away, but I do think it comes up short. First, I wish there was a right side button to complement the left side button so that I could navigate back and forth on browsers. The most damning problem, however, is the extremely poor battery life this mouse has. I have tried using all different types of batteries, but I can never get more than maybe two months at most out of a pair. It gets expensive when you have to keep buying new batteries at that pace.",2.0,Lacking,1242172800,"05 13, 2009"
A2L58ZETZS73YU,B000TG4BA0,Adam Bean,"[1, 1]","I have had this mouse for close to a year now.  I got it from the Dell website with a gift card that came with my laptop, and it was more expensive there.  The mouse works excellent, very responsive, scroll wheel works great, small size, decent battery life and works on most surfaces.  I would recommend it. Excellent small mouse for use with a laptop that works everywhere.",5.0,Great mouse,1304985600,"05 10, 2011"
A293A3R0B2L8DQ,B000TG4BA0,Adam L. Hanson,"[0, 0]","i bought this for a female friend of mind as a birthday present to go with her new Macbook.  so when it arrived i opened it and set it up on my PowerMac and it went with a hitch but when i went to set it up on her macbook the computer wouldn't recognize it.  so i took it home and tried it on my brother's imac, it wouldn't work on that either.  so i kept it for myself and bought her a little logitech",3.0,Mac user beware,1226793600,"11 16, 2008"
A29L0NIWBAGELM,B000TG4BA0,Adam Van Pelt,"[0, 0]","I purchased this mouse a little over two years ago when I bought my MacBook Pro.  All-in-all, it has served me pretty well, but some of the annoyances I have with it have finally driven me to look for an alternative.I love the fact that it's a bluetooth mouse and thus doesn't require having any dongles plugged into my MacBook Pro in order to use it.  I never installed any of the software for the mouse because, quite frankly, I don't need any of the ""bells and whistles"" that mouse software typically provides.  For all I know, Microsoft doesn't have any Mac software for the mouse anyway, but I haven't looked into it.  On the positive side, I can also say that the mouse tracks very accurately, in my experience.However, the two things that have finally driven me to look for a new mouse are the battery life and the fact that this thing disconnects more often than not of late while I'm in the middle of using it.  First, about the battery life, be prepared to have plenty of AAAs on hand and in your backpack so that you're not left unable to use the mouse when it runs out of juice.  This thing takes two AAAs, and using this mouse for anywhere between eight and twelve hours a day most days, I can only get about two to two and a half weeks out of the batteries typically.  I've tried Duracell and Energizer. . .brand has made zero difference.I've put up with the battery life issues since I've had the mouse (and don't want to think about how many dozens of batteries I've gone through in just over two years.)  The thing that has been driving me nuts for the better part of two months is that I can be using this mouse with fresh batteries and all of a sudden, my mouse cursor will be dead in the water.  The first few times it happened, I thought my computer had frozen.  However, I quickly discovered that with a quick roll of my finger across the touchpad, the cursor jumped back to life.  Usually, all I have to do to wake the mouse up again is to move it across the mousepad three or four times and then I'll see the message on my screen that the mouse has connected once again.  Sometimes, the mouse only disconnects while I'm using it once a day, and sometimes it does it four or five times in one day.  I'm fine with it going to sleep when I'm not using it and waiting for it to wake up when I return to my computer, but disconnecting while I'm in the middle of moving the mouse is unacceptable.This is the only mouse I've ever used with this laptop, so for all I know, maybe my bluetooth stack has gone crazy on me, but I tend to think that's probably not the case.  I'm running OS X 10.6.3 with all of the latest updates installed as of this writing.  Even if the issue is with the bluetooth stack or the bluetooth radio on my machine, I'm looking at getting rid of this mouse so that I can stop going through AAAs like crazy.  I'm strongly considering theLogitech VX Nano Cordless Laser Mouse for Notebooks (Black)based on the positive reviews it has on both Amazon and Newegg.  I know that I'll have to have a dongle plugged in to one of my USB ports in order to use it, but it's a good trade-off for me if I can get a reliable mouse that sips the battery power as opposed to chugging it down.",3.0,I've used this mouse for two years.  Now looking for a replacement. . .,1273968000,"05 16, 2010"
A36V2V3TWMD59Z,B000TG4BA0,Adrian Watson,"[0, 0]","Finally getting to use my mouse with my windows 8 tablet. Works as expected, Power last quite some time without having to purchase new batteries. even after forgetting to power off.",5.0,great deal,1386633600,"12 10, 2013"
A28HUBMSCXVQW0,B000TG4BA0,AK,"[1, 1]","This mouse works like a champ on my late 2011 Macbook Air.  The MBA immediately saw it on the Bluetooth device manager, installed and works perfectly (Both the Apple side and Windows 7 side (Bootcamp4)).  The tracking speed and button pushes all work perfectly.  Well done.",5.0,"Great, just like everybody said",1325721600,"01 5, 2012"
A1YZVVO0PDCMLI,B000TG4BA0,Alan,"[0, 0]",This product has a great feel and works flawlessly with good battery life. Competitive price.,5.0,Excellent Notebook Mouse,1219708800,"08 26, 2008"
A2644FJMHC69M,B000TG4BA0,Alessandro Viani,"[0, 0]","I got this mouse to supplement the horrendously tiny touchpad of my new Samsung NC10. It does everything I want it to. It's accurate, small, not glossy, doesn't need an adapter and cheap (got it for $27.99 on Black Friday here at Amazon.) I really love this mouse. In fact I am planning to get one when I get my new Dell E6400. The wheel is a little noisy and does sometimes hang, but it's really not that bad. I highly recommend this mouse.",5.0,Great Mouse,1233792000,"02 5, 2009"
