reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A3UUTY2ZQCH6ZR,B001KC08A4,,"[0, 0]",Excellent remote. Easy to setup and use.,4.0,Four Stars,1405382400,"07 15, 2014"
A1RK0PY2GL7LHN,B001KC08A4,4orty2wo,"[0, 0]","I used to have 5 remotes. Now I have just WR7 (and the damn Roku Bluetooth).Now if someone would lend me a Roku IR remote, I'd never even turn over in bed, let alone get up from it!",5.0,Life changing product,1353369600,"11 20, 2012"
A1JVJPIRK7MXGD,B001KC08A4,abloom489,"[1, 1]","We bought this for my dad as a Christmas present so he could consolidate his TV, DVR, DVD and stereo remotes down, but we simply couldn't get it to work. We tried following all of the instructions, but it wouldn't work with the DVR, which was the most important one. We were very disappointed with this remote.",1.0,Incredibly disappointed,1364774400,"04 1, 2013"
A2ZZEAC3JVJJC8,B001KC08A4,A Customer,"[0, 0]","After decades of trying other All-in-One remotes, this one finally works for all functions of all my components!  The tricky one is my JVC receiver with built-in DVD player and five other inputs.  All functions can be programmed individually using the Learning mode.  For those who complained about the return to last channel function not working, don't realize it has to be programmed for each component separately.  It does work.  I'm glad I returned that $100 Harmony 700.  There's no comparison.  Incidently, the three star rating for battery life will be five stars because I use Energizer Ultimate Lithium batteries that last a year in my digital cameras.doctorgo@yahoo.com",5.0,Absolutely Amazing!,1293321600,"12 26, 2010"
A39H670PD32Z1X,B001KC08A4,"Adam Sorenson ""Adam""","[1, 1]","I really wanted to love this remote. The reviews were pretty good.  Once I got it, it looked great, good quality build. The instruction book was phenomenal: they give you 4 different ways to pair your devices. I thought that finally someone had worked out the problem of the universal remote. I was wrong. I was able to program in 2 devices to the new remote, but after a while, the remote stopped remembering them. I tried it again to be sure, and with new batteries. Same problem. Yes, I did ""save my work"" as the manual cautions. The device didn't keep the programming in its memory. Also, it never was able to pair up my Toshiba DVD player. The instruction manual says don't return to store, please call or email. So I emailed. 3 days later and no reply so back it goes.",1.0,wanted to love it,1350950400,"10 23, 2012"
A3SXM4W15LEIED,B001KC08A4,A. Dude,"[0, 0]","Don't get me wrong, this remote works for the most part.The biggest issue I have with it is that it's simply uncomfortable to hold in your hand and depress the MAIN buttons, channel up/down, volume up/down, guide, input buttons...It's got a very nice thick grip to it on the bottom 2/3 of the remote, but up top where all the important functionality lies, it tapers off to quite a thin profile, making it difficult to quickly access most used buttons. It simply feels weird in the hands. Some might not notice this, but I sure hate the crud out of it.It works functionally, well enough. There are some codes that this remote just doens't seem to want to learn at all. There are some functions that could have been planned out better, such as discreet coding. A direct button to make your TV got to say, input 3 or hdmi 2 would have been appreciated. My remote's favorite channel buttons don't seem to play well with Verizon's boxes, so I can't comment on those. It'll get the basic tasks done though.The backlight is in THE.ABSOLUTE.WORST place on the remote, all the way at the bottom. You either have to use your free hand, (if you can pry your beer away from your fingers) or inch downward a number of times to manipulate it. And that's assuming that you can FIND the button in all it's darkened, blackened glory in the dark. What good is that?I bought it on Black Friday and got a screaming deal on it, but I think after this long, I should have at least gotten used to using it already. It's a shame, but not one that I'll lose sleep over. I'll just buy a better one soon enough.",2.0,"Poorly designed, but cheap in price.",1374364800,"07 21, 2013"
A2UK5HQS62ESQP,B001KC08A4,"A. Ferreira ""64-year old baby boomer""","[0, 0]","I bought this strictly for our bedroom Vizio TV, which came with a totally black remote. Try to use that in the dark! Arghh!This remote has a truly great red backlight that you can easily turn on and off, and the buttons are so easy to see!The remote didn't have a code for Vizio that worked with my TV, but I used the search code function and it quickly found one that worked.",4.0,Backlight is great for the bedroom,1319068800,"10 20, 2011"
A1KFE8JI949WB,B001KC08A4,agypsy,"[1, 1]","this remote works as advertised and you probably couldn't do better in this price range. i haven't found any remote yet that didn't take a week or so to fine tune what you need from a learning remote and this one is not exempt. but i was able to get all the components basic functions assigned in just over an hour. i am controlling 7 devices and this replaces my ancient learning remote that came with my parasound audio/video controller.my only complaint is the lack of a few buttons. ie ""sleep"", ""DVR"" and ""on demand"". you can work around it by assigning unused buttons but for my cable/DVR, i ran out of unused buttons. i ended up using the ""skip +/-"" buttons to assign the DVR and ""on demand"" buttons. not a big deal for me because i rarely skipped when i was watching a recorded show. not a deal breaker by any means.overall i'm very happy and i spent less than $25.",5.0,good deal,1320278400,"11 3, 2011"
A292JUY8KQV3EB,B001KC08A4,A.,"[0, 0]","For a long time I was looking for a remote control like this. Allows full customization, it can work out of the box with many of the different brands and different devices (from Apple TV, to TVs, Home Theatre Receivers, Cable Boxes, etc.) One of the best parts is that the remote can &#34;learn&#34; the options of other controls. In this way, I could teach the WR7 how to turn on my A/C and fan units, and also to remotely turn on/off my lamps. User manual was clear and thorough, although some basic technical know-how is preferred to set up this product.Bottom line, it is not the cheapest one of the remote controls, but it does its job admirably!",5.0,The one remote to rule them all!,1375315200,"08 1, 2013"
A3VLX7ZKAABD14,B001KC08A4,A. Hertzberg,"[0, 0]",Don't buy an expensive universal remote.  This one works great. It can be programed in about 30 seconds for basic programming. You also have the option to do more advanced programming and macros.,5.0,great remote,1395273600,"03 20, 2014"
