reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A3D7YSUWYQW9MK,B000BTL0OA,,"[0, 0]","This is a durable workhorse but really works best when you install third party software such as Tomato.  I bought this to route security cameras out to the internet but there was no apparent way to reserve specific IP addresses with this unit.  There was also no way to set that up in the camera system's firmware.  With Tomato installed, I was able to permanently assign static internal IP addresses by linking the mac addresses.  I was also able to  turn down the wifi power which helps keep the neighbors from prying.Anyway, this is a solid run of the mill router.",5.0,Durable Workhorse,1405296000,"07 14, 2014"
A3V0SMCPZK0PVM,B000BTL0OA,5s,"[0, 0]","I love this router. After trying perhaps a dozen brands, I finally got my hands on this WRT54GL last week and I am now in love. The main reason I got this router was to use it for Bit Torrent, and it excels in that regard. Other routers I had would start dropping packets or ignoring page requests when I had 5 or 6 torrents seeding. With this router, I have had 20+ torrents seeding, downloading a dozen more, and there is no discernible impact on my web browsing, Skype, or other web activities.I loaded the Tomato firmware which provides some additional functionality around quality of service etc, but have yet to really use it.",5.0,great router for bittorrent,1302825600,"04 15, 2011"
A1OUSIJKA3T7J0,B000BTL0OA,"Abarmard ""Abarmard""","[0, 1]","I have installed many kinds of wireless routers before. I decided to go with this one especially due to the price and the decent reviews on Amazon. I have one PC and 2 Mac Laptops.First of all the factory software CD provided by the manufacture is completely worthless. After several unsuccessful attempts I finally called the customer support in order to install the software. Once up and running, it works decent, except for the dropping the Mac laptops out of the coverage several times, so I had to go to the airport section of Mac, find the router and click on it, etc.I think after all I should have gone with the dual band Netgear router. It is listed on Amazon for about $150 but is worth each Penny.A follow up on this router.After owning it for abour 6 months, it has been rather a pain. Very frequently it just stopped working and then I have to unplugg it from the electricity jack and back on. I did the mistake and pushed on the buttom ""Reset"" on the back of the router, then I realized that all the setting will be erazed and I ha dto rest the router name, pass word, etc. I am not very happy with this product and would not recommend it.",1.0,Need more than simple skills!! Please see my review after 6 Months,1334102400,"04 11, 2012"
A2AXWQVA5V9GPJ,B000BTL0OA,A. Benenson,"[2, 2]","I performed the following steps to get this router working in a couple of minutes, with no setup CD. These steps will work for any type of computer:1. Connect your Internet modem to the router's Internet plug.2. Use the included blue cable to connect your computer's network plug to one of the numbered plugs on the router.3. Connect the modem to power (or turn it off, then on again), then connect the router to power, then wait a minute for things to start up.You can stop here if you don't care about wireless security (you now have an unsecured Wi-Fi network called 'linksys'). But if you do want security on your Wi-Fi network (you should!), keep going...4. Start the web browser on your computer and go to the address 192.168.1.15. Enter 'admin' for both the user name and the password.6. You'll now be at the router's setup web pages. Click 'Wireless' (to the right of 'Setup').7. Change the wireless network name to anything you want (something unique and recognizable is best).8. Click Save Settings. Once they're saved, click on Wireless security.9. Set security mode to WPA2 Personal, set WPA algorithm to TKIP+AES, and enter anything you want for WPA shared key (this is the wireless network password; for maximum security use a meaningless jumble of letters and numbers, but whatever you pick, remember it!)10. Click Save Settings.11. If you only need wireless, you can now unplug the cable between the computer and the router.Now you should have a Wi-Fi network with the name you gave it in step 7, and the password is what you entered in step 9. Have fun!",4.0,Easy to set up without using the CD,1276041600,"06 9, 2010"
A2AH4W5U8S9EYG,B000BTL0OA,A. Chow,"[0, 0]","Linksys are great product once setup but I had problem with mine due to some IP conflict which I had to call India to resolve.  The company must be using some cheap VoIP type phone because you can hardly hear the customer service person and they can hardly hear you.  Anyway, the router cannot connect to my verizon DSL modem but it was a simple changing of the IP address of the router but only if you knew this is the problem.  I think this is a commom problem and Linksys should anticipate this in their setup process.",4.0,set up problem,1262908800,"01 8, 2010"
A1BCRVXXH585WO,B000BTL0OA,Adam Atkinson,"[1, 1]",I bought this puppy because I knew I could upgrade the OS ... I haven't done it.The standard OS works great and I've only had to reset it twice in the 18 months I've been using it.Highly recommended.,5.0,Proud owner,1238284800,"03 29, 2009"
ABW2NA00KS8NZ,B000BTL0OA,adam,"[0, 0]",This installs quickly and easily and works great. It reaches everywhere in our 2000 sq ft house. I rarely have to reset it.,5.0,Works great,1360108800,"02 6, 2013"
A36HAPRBHETCEI,B000BTL0OA,Adam Melancon,"[0, 0]",This thing is built like a tank!  I have had the original version of this running for almost 10 years now and it's still going strong! It's running DD-WRT and works great!,5.0,This is a fantastic router.,1361750400,"02 25, 2013"
A1TXY1MHHCF20,B000BTL0OA,A. Estrella,"[1, 1]",I have 3 of these routers and only had to buy a replacement once. I've used this brand and model for over 10 years now. Simply the best home router out there.,5.0,Best Home Router Ever!,1379116800,"09 14, 2013"
A39633CU9DC0PY,B000BTL0OA,"A. J. Minhas ""althotos""","[1, 1]","This must be my 4th Linksys Router over the past 10 years. My sister and I bought the first one 10 years ago to set up a wireless network in her house. I was hooked. I've had two more since then. Although it's not Wireless-N, we are still able to hook up 5 computers in our house, 4 Roku players and 5 Android devices. It does well and it has been pretty reliable.",4.0,Reliable and Inexpensive.,1384732800,"11 18, 2013"
A1ILMC6EJY6L1M,B000BTL0OA,Alan M. Izzo,"[0, 0]","Once i figured out how to configure this router to work with AT&T; DSL it worked fine. I turned OFF the wireless part since that will only be used when my grandkids are here with their laptops and iPads. I don't trust leaving it on regardless of the security settings, but that's just ME.Instalation instructions were fairly easy to follow. I had no idea what settings AT&T; required so it was pretty much a hit-or-miss proposition till I got it to work. I think it was my 4th or 5th try before I got it to work and since then not a single glitch.Works fine with Wndows XP 32 bit (2 computers), Windows 7 & 8 64 bit (1 of each) as well as a Epson WF-2540 printer and Buffalo LSS-WVL/E 2 disk NAS.Soon I will be hooking it up with my wife's SONY BlueRay Medea Player and her Wii as soon as I can run the cables.On sale at 1/2 price it was cheaper than the Dynex I bought 5 years ago, plus it has wireless abilities. A name brand too.",5.0,Great replacement for my OLD Dynex router,1389744000,"01 15, 2014"
A3GS1G96OVL5IK,B000BTL0OA,"Alan Rosenquist ""quist of quistlogic""","[2, 2]","Simple - Very easy for non-techies to get started setting up their own wireless network.  Press one button and you're pretty much done.  Encryption (safety) is simple to setup also.  Although it may be confusing which one to choose when setting up your laptop - as some laptops do not have all the features (eg: WPA2 PSK) so you should pay attention to that when setting up.Complex - Modifying this router to accept Linux, eg: DD-WRT.  I suggest setting up DHCP with Static Leases based on Mac Addresses (Physical Address).--Also you can physically modify this to accept USBfeature of flashing to DD-WRT:-overclocking the 200mhz processor with the click of a button-VPN (IPSec, PPTP, L2TP)-UPnP, Port Forwarding, Port Triggers, DMZ, QoS-Load Averages, Avaliable memory, IP Connections, and more.",5.0,"Simple or Complex, you decide.",1167955200,"01 5, 2007"
A1KQCP3P67E93,B000BTL0OA,"Al Barkley ""Al""","[1, 1]","The WRT54GL (as long as the firmware is upgraded with Tomato opensource Firmware) is the best home router I have used.I have tried Dlink and NetGear. The worst one among them was Linksys WRT54GX2 - a piece of junk due to the bad firmware. After a lot of trial and error, I found out that the router firmware has many flaws, and does not work well with IPTelephony. I replaced it with WRT54GL (upgraded it with tomato firmware), and it solved all those problems - tomato firmware has more features, is faster, and is at the same time highly reliable.",5.0,Must upgrade to Tomato opensource Firmware.,1188604800,"09 1, 2007"
ARF2TTB07YGRL,B000BTL0OA,"Alexander ""Alexander""","[0, 0]","Pros:+ It does what it's supposed to.+ Linksys is a reliable name.+ No problems with connection to the internetCons:- Very limited customization features, DD-WRT helps but still a weak router- Weak signal in a 2-story home at approximately 3,200 sq. feet. The coverage is weaker at certain parts of the house not likely due to interference but solely on the router itself.- Most common router everI decided to purchase this router because I had used one a couple of years ago and it functioned flawlessly but I'm not quite sure of the model name... After a certain amount of years, it died and I used a Belkin--- didn't like it much so after moving I was bent on buying another Linksys. I'm not sure why but this model has a weaker signal than the other one despite the home being about the same size.",3.0,Weak Signal,1367798400,"05 6, 2013"
A3JAL9LX5XMKB3,B000BTL0OA,Alexis Lizardo,"[0, 0]","This is a great router, its durable and has a lot of features. You can change the firmware to one like tomato and get a lot more functionality and flexibility",5.0,best router i ever owned,1393891200,"03 4, 2014"
A1MRPUU1HAPJ5X,B000BTL0OA,Allen Benusa,"[4, 4]","This is the Linksys router to get.  It is only a few more dollars than the WRT54G or WRT54GS, but it is worth it!  I have first hand experience with reliability problems with the cheaper WRT54G V6.I bought this GL router and once I flashed to 3rd party firmware DD-WRT v23 SP2, the lockup problems went away.  In fact I have set up DD-WRT to auto reboot at 3am every day.  No more problems.  Stable as a rock!Plus buying this router will ""future proof"" your purchase for a while longer than stock routers that cannot be customized.",5.0,This is the one to get,1167436800,"12 30, 2006"
AUG0C084W05KI,B000BTL0OA,"Amazon Customer ""average joe""","[1, 1]","Ok, I'm not totally ignorant when it comes to technology, but I couldn't tell you what half the stuff in these reviews means.  But I can tell you that I bought this, followed the simple step-by-step instructions (about 7 steps) using their included software, and I was using it with my laptop for wireless internet in less than 10 minutes.So, $50, idiot-proof set-up, and all that great tech-speak that all the smart people are saying here on this board- pretty much a slam dunk in my book.",5.0,"Technically ignorant, and I love it",1166227200,"12 16, 2006"
A36KZ9CBDFPMO3,B000BTL0OA,Amazon Customer,"[0, 0]","A solid and reliable wifi router is the best deal. It just keeps working with no hiccups or interruptions. I bought this for emergency backup because all home routers eventually fade away from old age, since they do not come with fans or decent heat sinking. I have two set up in the house, one on first floor and another on 2nd floor on opposite side of house. Together, there are no dead spots in the house. They were flashed with Tomato firmware to replace the default Linksys firmware. Seems that Linksys firmware is much improved these days but I'll go with what has been working well for me these past several years. Three of these (two in use, 1 spare) cost me less than one of the new fangled gear loaded with useless and unreliable features. My original router reports 165 days up-time, which means there no interruptions since the last time i powered down everything when I left on holiday.",5.0,Solid and Reliable,1380672000,"10 2, 2013"
A35RJ50ZCWEONY,B000BTL0OA,Amazon Customer,"[0, 0]","I had a WRT150N that was going on the fritz (owned it for several years but was requiring frequent hard resets to obtain functionality).  While shopping for a new wireless router I looked at a lot of N-band routers but they either didn't have external antennas (for when I buy a house) or they were some off brand that I couldn't trust.  Then, I decided that I didn't really need 100+ Mbps - my internet connection speed never tops 15 Mbps, so 54 Mbps is enough for my laptop, my Roku and my Xbox no problem.  I don't use wireless to do many network transfers (laptop &lt;-> desktop) and even when I do, the limiting factor was never wireless speed, but hard drive r/w speeds, so I decided I'd buy the industry standard in wireless routers - the WRT54GL.  This is, and has been, a rock solid piece of equipment - just look at NewEgg.com - it has thousands of reviews praising it for performance, longevity, expandability, etc...My only disappointment with this router, was that after I had it set up so that the Xbox didn't have any NAT issues with Xbox Live and after I had the Roku connecting and streaming to it, it deleted all my setup.  It happened the same day the cable company remote reset our cable modem - the router returned to factory default settings.  That was a pain - especially to get the Roku working again.Still, this router has been stable, performing like a workhorse since I bought it and the dozens of people I've recommended buy this (literally, dozens) that have, have enjoyed a stable, simple wireless setup.  It's hard to beat.",4.0,Industry Standard,1304208000,"05 1, 2011"
A3OO79O92GRKI2,B000BTL0OA,Amazon Customer,"[0, 0]","I'll just start with the most obvious Con to get it out of the way: This isn't an 'n' class router, so 54Mbps is all you get with just one wireless user. Simultaneous users cut that down further, so if you want the fastest router out there, skip this dated technology.Now the good: If you want one of the least expensive and versatile routers available, the WRT54GL will not disappoint. While the stock firmware is acceptable for doing some pretty good stuff, putting DD-WRT onto it makes this puppy an incredibly featured router.I have been using this router off and on for about 5 years, always trying to find something that works better, but always going back to this one in the end.I have used this router in both bridged and non-bridged mode, as an open-access point, and more recently, as a repeater. In fact, it works so well as a wifi client and repeater that my throughput has doubled at the direct ethernet connected desktop vs. using the n-wireless adapter it had plugged into it previously. So don't discount the 'g'!!! And of course everything else at the repeater end of the house now has a nice strong repeated signal as well.Signal strength with it's short antennas is pretty average, but larger antennas would likely help that and are available in plenty of places. And in the 5 years of use, I have never seen this router crash. I can't say that for the other 4 wireless routers I have tried along the way!In a nutshell, this router is a workhorse with solid, if not top-speed performance, and superb reliability, with routing and filtering options (using DD-WRT) that I have barely begun to explore. So if you are tired of buggy routers that seem to crash at the worst times, the WRT54GL just might put those headaches to rest permanently.",4.0,Maximum Versatility in an Inexpensive Box,1383177600,"10 31, 2013"
