reviewTime,helpful,overall,summary,asin,reviewerName,reviewerID,reviewText,unixReviewTime
"07 12, 2014","[0, 0]",5.0,My children all work odd hours so these are a ...,B0001FTVEK,,APAEK95R7T8RD,My children all work odd hours so these are a lifesaver in letting anyone watch TV and not disturb the rest of the family,1405123200
"06 14, 2013","[0, 2]",2.0,loss of quality! not  worth it! cheap build qualit... is comfortable but not super light... sound loss and buzzing sound i tried,B0001FTVEK,0_0Donuts,AKIGZKDK3CK5F,all the frequency. rather i can get a 3.5mm adapter jack and use it to hear my tv through it ! a much cheaper and better alternative if you just want to hear your tv while parents sleep.GTMax 3.5mm Female to 2 RCA Male Cable + headphones is better! cheaper and better BUT THAT WONT BE WIRELESS~!,1371168000
"12 22, 2005","[13, 14]",5.0,Outstanding,B0001FTVEK,"&#34;Sam&#34; Twain ""Samuca""",AXKI4FBLRF42D,"Before ordering this headphone I read very carefully previous reviews. The reviews I read were helpful, well written and I was stimulated to write my own. There were basically two groups of reviews, one being highly complimentary of the RS-120 and the other group complained about noise, hiss, and comfort. My own review falls in the first group. However I must say that noise and hiss can happen in some environments and are not necessarily a problem with the headphone. In fact, it is easy for me to induce noise/hiss when I approach the motor of the refrigerator or I approach the emitter from other electronic equipment. Noise/hiss are nightmares for engineers and sometimes there is not much that we can do to eliminate these problems in the immediate physical world that surrounds us. We need to troubleshoot to get the best location of the emitter in order to enjoy this remarkable set of headphones. And the price at Amazon was a real bargain.",1135209600
"01 11, 2012","[0, 0]",4.0,Good product,B0001FTVEK,454Malibu,A4TE49CI8PH2S,"Really like these headphones. They sound great. Easy to hook up. I listen to them when the wife goes to bed at night. They even work in another room from the base. The padded ears are a little hard to get used to, They want to fall off your head very easy. Don't plan to dance with these on.",1326240000
"07 19, 2008","[0, 0]",5.0,Excellent for the price,B0001FTVEK,718tech,A1HRECPV2Q79BG,"These headphones do exactly what they're supposed to - they free you from a cord, comfortably and efficiently. Just make sure to fully charge the batteries before you use them. If you use them with the low charge the batteries have out of the box, you'll think something is wrong. You need to charge them for 24 hours before the first use.Once fully charged, the performance is quite good. In my smallish apartment in NY, which has a lot of interference sources, I get a very good signal in every room with little to no noise. Sound quality is not as good as audiophile corded headphones (I have Grados for that), but for TV watching while my wife's asleep or casual music listening the RS120 is just the ticket, and the price is right.",1216425600
"07 7, 2014","[0, 0]",3.0,"This product started out pretty good, but is now deteriorating",B0001FTVEK,a1ac4,A2Q7GDRUXPZRMK,"This product started out pretty good, but is now deteriorating.  I recommended it to a friend, however, and he loves it.  If I do decide to get another pair of headphones, however, I will probably invest a little more, to hopefully be better satisfied.  What is disappointing is: Reception is spotty, almost requiring  its use to be within a relatively short distance from the transmitter, the fit on the head is not very good and restricts much activity, and there is very little (almost no) restriction of other sounds.  But for the price, it has been O.K.",1404691200
"06 18, 2008","[0, 0]",4.0,So far so good,B0001FTVEK,A. Bothel,AF3G5GJFCBJ65,"I have been wanting to switch to wireless headphones for a long time, mostly because of the fact that I always get wrapped up in the cords or my pets mess with the cord. I was skeptical to switch because of quality and price. However, after reading a lot of reviews, I decided to try these out. I am pleased with them so far. They have great range with little to no loss of quality in and around my house.The ONLY real negative thing I have seen (heard rather) is the Automatic Gain Control which to my knowledge, can't be turned off. If you listen to music with sudden changes, such as movie soundtracks or classical, every time you get a sudden noise, such as drums, cymbal, etc, the Automatic Gain Control lowers to volume to compensate for the sudden increase in volume, or so it thinks. This can make your music somewhat inconsistent, which can be annoying. I would imagine with more constant sounding music, it would be a non-issue though.That being said, I am still happy with my purchase, and would recommend them to someone looking to get away from a corded set.",1213747200
"01 21, 2012","[1, 1]",4.0,Good headphones but won't work for everyone!,B0001FTVEK,AC,ASVZC9DBNE92O,"I bought this headphones as a gift for my father so he can listen freely while moving around the house. Before giving it to him, i decided to try it in my house first. Plus, I new that they have to be charged for 24 hours (or 12 hours, I can't remember) before the first use, so I figured it will be better to give it as a gift when they are ready to go!First, I was very very disappointed. No matter what I did, I heard loud static noise, which was very periodic, and sounded like knocking (~ 60 knocks/sec). I tried all three channels on the base, I turned off my PC, router, every possible source of noise. I went to the basement, connected it to PC...and noise was still there. It was unbearable. Then, I realized that it could be the baby monitor. I have a child and the base of the monitor is always turned ON and it turned out that it always transmits, no matter whether the monitor itself is ON. The moment I turned off the base, the noise was gone and the sound in headphones was loud and clear. For me, this headphones would not work. I need the baby monitor. I cannot unplug it to listen to the music. However, if I did not use it, the headphones were great!I gave it to my father, and I was glad to learn that neither his house, nor his neighbors, have a noise source that interfere with his headphones. He is extremely happy. He wears them for many hours every day, around his apartment, lays down on the couch, cook with them, you name it. Today, he went to the gym in his building, which is 2 stores down from him (but right under), and could hear very well (even while traveling in the elevator). Even though he claims that he does not hear any static, it is possible that due to his hearing, he may not pick up all the noise..but who knows...The bottom line - it could be a waist of money if you have a wireless device in your home that just happen to work on the same frequency as the headphone (in my case it was a particular model of the baby monitor), or it can be a treasure, and let you truly disconnect and go around and enjoy you music, even outside of your apartment in the gym, like in the case of my father, all noise free! You have to give it a try and see.",1327104000
"04 6, 2014","[0, 0]",4.0,Sennheiser RS120 Wireless Headphones,B0001FTVEK,Acur81,A3002YH8CBT1BR,"Not sure why I hadn't looked into these before. I'm a veteran, with a high-frequency hearing loss, and not being able to hear all the dialog on TV shows, finally got to the point where I wanted to do something about it. I don't have a problem with DVD's, or Blu-Ray, as I can put on sub-titles. Anyway, these headphones have been a boon to me. I had been using earbuds, plugged into a curly cord, plugged into my stereo receiver, but dealing with the cord got to be annoying. Now that I've gotten used to the wireless, instead of just wearing them for my favorite shows, I use them all the time. Part of getting used to them, meant dealing with the weight, as these obviously are heavier than ear buds, and making sure that they're placed on the cradle properly, so that they will always be charged when you use them.",1396742400
"04 20, 2007","[7, 8]",3.0,"Not exactly wowed by these: hiss, week bass, noise, noise",B0001FTVEK,"AdamDZ ""AdamDZ""",A188S2HH77HKAN,"A mixed bagPros:- clever charging system, easy to use- uses standard AAA NiMH rechargeable batteries, not some proprietary ones- light and comfortable- decent audio for TV or quiet background music- decent stereo reproductionCons:- high frequency hiss present on all channels and can't be tuned out- weak bass when listening at higher levels to quality music sources- lacks very low bass below 60Hz, turning up EQ leads to distortion- overly bright midtones at times- open air design bleeds a lot of sound so person near you will hear your music loud and clear- looks like they're easy to break- while the range is decent it picks up a lot of interference while walking around that results in distracting pooping, whistling and screeching sounds- lacks some sort of auto-mute when runs out of range or looses tune: the noise that kicks in is oppressively loud and discomforting- annoying startup delay- volume and tune knobs too close, it's easy to  turn the tune knob by mistake and get blasted with that horrible noise - they should be on separate sides, far from each otherI'm still debating whether or not to return them.",1177027200
