reviewTime,helpful,overall,summary,asin,reviewerName,reviewerID,reviewText,unixReviewTime
"07 15, 2014","[0, 0]",5.0,I had horrible carpal tunnel when I was pregnant and a friend ...,B000A6PPOK,,ANEJ0FAPLRX90,"I had horrible carpal tunnel when I was pregnant and a friend recommended this keyboard. That was almost 8 years ago and I've used this keyboard ever since. It take a little bit for the layout to become intuitive, but once you get it down it'll be hard to use a regular keyboard again. I can type for hours without any pain in my wrist or forearms.",1405382400
"07 15, 2014","[0, 0]",2.0,SPACE BAR TERRIBLE!,B000A6PPOK,,A3LCRHFTUB2AGS,"These babies are really hit or miss. If you have a good one it is great. However. the space bar didn't work on the first two that I got. The first one was loud and clanky, the second one the spring was super weak and the key would not re-press.If there's one key on a product that should be guaranteed to work it's the space bar. Heck make that one key mechanical.",1405382400
"07 15, 2014","[0, 0]",5.0,Best keyboard ever,B000A6PPOK,,A3M4WM50O9DL4V,This is my favorite keyboard of all time.,1405382400
"07 16, 2014","[0, 0]",5.0,comfortable and reliable,B000A6PPOK,,AGCZ28CITGXOJ,Very comfortable keyboard.  I now have four of them for each of my computers.  Reliable as long as you don't spill tea on them (oops).  Other than that I have never had a problem.  I use them on Windows and Mac machines.,1405468800
"02 4, 2014","[0, 0]",5.0,The wife loves it,B000A6PPOK,15T3FN1,AA3JKQ31FKJYN,I bought this for my wife to use at work when she started to develop some wrist soreness. This keyboard gave her instant relief and scored some points for me as she had no idea I ordered this for her after overhearing her complaining about her wrist pain.,1391472000
"06 21, 2014","[0, 0]",5.0,Very helpful for those in pain,B000A6PPOK,A. Bossaller,ADI2V9PO71H81,"I've owned previous Microsoft Ergonomic Keyboards and this one continues the tradition of working very well. The only 2 things I can ding it on is that some KVMs will not treat this as anything but a keyboard so the extra buttons may lose their functionality. The other item is a personal pet peeve. By default Function Lock is turned on, so to use the Fxx keys, you have to disable it first.",1403308800
"09 20, 2011","[0, 0]",2.0,"Worked well, for a while",B000A6PPOK,"Adalard Stevenson ""A.""",A13GGR6TQATD73,"I still own and use an original MS Natural keyboard from 1995.  That keyboard's been through hell and is really showing its age in the form of lots of friction and loud keys.I bought the newer MS Natural 4000 a year or two ago at the local retailer for $40.  Compared to my old keyboard it was immediately apparent that they had really engineered the thing down to the thinnest, lightest materials possible.  The keys are reasonably quiet.  I felt like it needed more tilt and angle to the keys, but otherwise was a reasonable keyboard.  I do wish they had kept the editing keys and dispensed with the num pad altogether so that the keyboard wouldn't take up so much desk space.Then the enter key stopped working.  I took it apart and could find nothing wrong, even looking at the traces on the flex circuit under a low-power microscope.  I simply could not find the break, but there definitely was one in the flex circuit because all the other keys worked.For its price, it was okay, while it lasted.  This time I'm spending more on the leading (and most expensive) competitor hoping to get better quality.",1316476800
"12 7, 2012","[0, 0]",5.0,best keyboard ever,B000A6PPOK,Adam J. Green,A3IH9GD4HG61R7,"had a hard time finding this. i use this keyboard everyday, there is nothing bad i can say about this keyboard.",1354838400
"04 6, 2013","[0, 0]",5.0,I love this Keyboard,B000A6PPOK,"Adam Nunn ""- Daily Amazoner""",A3GHNNPXVOMJL9,I absolutely love this keyboard. I have been using them for around 5 years now and probably couldn't type on a traditional keyboard anymore.,1365206400
"03 6, 2014","[0, 0]",5.0,Great Keyboard,B000A6PPOK,Adam R.,A1FMZABUTFSG2S,"I have a job where I sit at a desk for 8 hours & work extensively in queries and analytic tools.  I loved this keyboard and it functionality.  The keys on my keyboard were beginning to require me to punch them quite hard to work, but the keyboard was over 10 years old.  I just recently replaced it with a Sculpt keyboard, but not without much debate.  I ultimately chose the wireless option.Pros:Shortcut Keys made me more productive.  If I wanted to launch an app, it was just a push of the button.  Seems simple, but when you are constantly go into an app, it makes it easy to do.Layout - this is a matter of personal preference, but I like the split keyboard.  I have used this one for so long, that I find it hard to type on a regular keyboard.  I also love the extra operator buttons on the number pad.  Makes using Excel very easy.Con:  The only one that I can think of is the bulk of the keyboard.  The new sculpt keyboards have a noticeable smaller footprint on my desk.",1394064000
