helpful,unixReviewTime,reviewerID,reviewText,reviewTime,overall,asin,summary,reviewerName
"[1, 2]",1233360000,A1NMFG57527DGM,"PortaPro headphones did not dissapoint.  Sound was good, and a good alternative to in ear headphones.","01 31, 2009",4.0,B00001P4ZH,PortaPro Headphones,A. Alamo
"[1, 1]",1378512000,A3433V6H1NDFGP,"I bought these headphones because they collapsed into a portable state. Unfortunately the bag, though of very nice material, was not at all big enough to enable me to store the phones in it. The whole experience of trying to fit the collapsed phones into the bag was quite frustrating and I'm surprised that an otherwise good sounding pair as these were (but not great) would be matched with such an unsatisfactory bag as far as size is concerned. However, I did lol use the bag for other things and was very happy with the bag in this case.I found the sound quality not up to the past reviews which gave the PortaPros such a great reputation though.","09 7, 2013",3.0,B00001P4ZH,somewhat disappointing sound quality and storage bag,"Abraham Kovler ""ripvanlink"""
"[1, 1]",1281657600,A1HE9XEZ3LPP6B,Well this product has absolutely exceeded my expectations in terms of the overall sound quality .. . And for the price that its offered. . .i can recommend any one to just buy it .. without thinking twice. ..Cons :  Not as comfortable as over the ear headphones. ..,"08 13, 2010",5.0,B00001P4ZH,Exceptional Sound Quality .!!!!!!!!!!!!!,Achillez
"[3, 3]",1287273600,A1HIZC2BJYEY5P,"I had a Koss CD player when I was little, and the bass was unmatched in a bookshelf system.  It made me the envy of my friends and translated into loyalty with KOSS headphones.  I can't say enough about these lightweight, gorgeous-sounding, funky headphones.  PortaPros have a lifetime warranty, look like something out of Tron, and spoil the listener with comfort and bass reproduction.  Buy 'em, and find something else to worry about, in life.  Highly recommended.","10 17, 2010",5.0,B00001P4ZH,The Only Headphones You'll Ever Have to Buy,"Adam Davis ""Adam Gone Wild"""
"[1, 1]",1264809600,A2MBSC4S2PJNRD,"I'm on my second pair of these headphones. I'm no audiophile - just a gym rat who uses them every day to drive my workouts.Considering the class of headphones under $50 that I have used, for this one:The Good features:  great sound, light on head, excellent bang for the buck.The Bad features:  I carry them in my gym bag along with my other stuff. The cord gets tangled up half the time.  Also, after some time (1-2 years) the ear cushions become shredded, and must be replaced.June 22, 2012 update.  I have purchased another pair, and I'm very impressed. (New headphones needed since the previous pair would intermittently drop the signal.)  The cord seems shorter, and it is thicker so it only gets a little tangled. Also the ear muffins appear larger.  For the price, I know of nothing that's better.  A great buy.","01 30, 2010",5.0,B00001P4ZH,"Good value, but a Bit Flimsy",Adam Smith
"[1, 1]",1388448000,A2I6H0OBCTMNN9,"These headphones have been the companion to my laptop since the day I bought them. They are small, light, and deliver surprisingly good sound for the size.On the negative size, the foam ear pads can fall off very easily, and have a relatively short life. The sliders that adjusts the tension in the band move to max tension at the slightest touch.","12 31, 2013",4.0,B00001P4ZH,Good quality in a small package.,Adrian
"[1, 2]",1220832000,A2FW8B993V84VI,"I purchased these headphones looking for a set of sub-100 dollar on-ear phones.  Like many other reviews say, the sound quality is superb for the price range.  my only complaint is the comfort.  i don't wear them on a daily basis, and they are slightly difficult to get accustomed to.  other than that, this is a top notch product.","09 8, 2008",4.0,B00001P4ZH,great value,A. Edwards
"[1, 1]",1354579200,A3LLFZGX8RTA0E,"Good product for the cost. Good sound quality, folds easily and can be used a variety of settings. Nice price","12 4, 2012",4.0,B00001P4ZH,Good Product,"aerobicguy ""aerobicguy"""
"[1, 1]",1308700800,A3PEXCKPTNZLC4,"There are enough reviews here to keep you busy for a few hours, so I will only mention a few points:1) I had the Sportapros. They sound great, too (same drivers), but the Portapros are really worth the extra $13 or so bucks you'll spend on them. The PPs are much more robust, and look better IMHO. Just spend the extra cash, you won't be disappointed.2) No questions asked lifetime warranty.3) They sound FANTASTIC for most of us average joe's who love music, and tend to boost bass and treble on EQs.They are worth every penny!","06 22, 2011",5.0,B00001P4ZH,Worth every penny!,"A. Flores ""Hail Seitan!"""
"[2, 2]",1282608000,A21A9F84S9AZIP,"I was little skeptical about buying this one. Portapros are produced all the way since the 80s and have a flimsy look. My doubts continued as I was unpacking my Portapros. Could this little, flimsy, plastic set of headphones be that good? All of my doubts have evaporated once I have tried using them. These headphones have two big pros:1. Sound quality: One thing you should be aware of is that these headphones are _loud_. I have compared them to my Sennheiser HD201 and Sony MDR-A34. There is no comparison. Portapro is much louder. Of course, if you don't like it, you can turn down the volume. However, despite the loudness, the sound is excellent. I can pick a lot of details in my music CDs that were nearly undetected with the MDR-A34 and barely audible with the HD201. When I play first person shooter games, I am getting excellent directional sound.2. Comfort: The comfort is excellent. The headphones sit very tightly on my head and yet they don't apply much pressure to my ears. I can wear my Portapros for hours without feeling any discomfort. The reason for this, is that these headphones come with extra cushions the sit above your ears and shift some pressure to your head leaving very little pressure on ears. You can also choose how much pressure you want to have applied to your ears. If the default is too much, you can shift some of that pressure to the auxiliary cushions by changing the ""Comfort Zone""  settings (the blue buttons above the driver, it's best to start playing with them once you already wear the headphones). Since the headphones sit tight on your head, they're suitable for outdoor or gym use. The cable length is just right to reach your PC speaker or mp3 player (about 3 feet), but I suppose that some people will find it too short. Finally, the set folds easily and fits into a small leather bag provided for portability.And, have I mentioned lifetime warranty? If they ever break, just send them to Koss with a $6 check. They'll fix or replace them for you. Overall I am very satisfied and would recommend these headphones to anyone who needs cheap, reliable headphones with good sound quality for either indoor or outdoor use.","08 24, 2010",5.0,B00001P4ZH,The best computer/mp3 player headphones for the money,Akop Pogosian
"[2, 2]",1332115200,A3UK6XF38M32SK,"You can't beat the sound quality for this price. It's good all-around for every type of music. Clean high and solid low. If you listen mainly to hip hop where booming bass is important, you might want to check out other makes. I listen to all types of music, so this is a good all-around headset for this purpose.It does look a little dorky, but sound quality is more important to me than looks. The headband does pinch your hair occasionally, if you're not careful adjusting it. Mine did not come with a case. It came with a soft pouch instead, so not a whole lot of protection there for traveling purposes. Even in the folding position, it's not easy to get it in the pouch. The sound does leak (enough to bother my wife as she's lying next to me in bed). The ear foams feel a little weak and may wear out quickly after frequent use. Don't know if you can buy the foam separately. I gave it 4 stars mainly for sound quality and price ($30-$40). I've had mine for about 2.5 years now and they still sound just as good as the various $100 plus headsets I recently listened to at the local Best Buy store.","03 19, 2012",4.0,B00001P4ZH,Best bang for the buck,alanSJ
"[1, 1]",1379980800,A34CK5N0R36M7T,Many of my friends look at these headphones and wonder why I make such a big deal about them. They are not the most beautiful headphones to look at. But do they kick xxx when it comes to sound there are not another pair it this price range that even comes close .,"09 24, 2013",5.0,B00001P4ZH,if you are looking a pair of head phones to make a statement. and sound wonderful hear you go,alan yousey
"[1, 1]",1310774400,A2MNHYUXMW4KW7,"I have a pair of Sennheiser PX 100 headphones which I bought a couple years ago use for listening to music, videos etc on my pc or sansa. However they were never really very suitable for jogging or biking in (not a tight enough fit and will come loose during excessive movement).The bud type earphones just don't cut it for me - uncomfortable and sound quality just crappy. I wonder why most other people are happy to wear bud type phones? Maybe my ears are deformed...Anyways, I googled the web and found several good review's of these koss phones for running.I bought a pair a couple of months ago and I must say that it's one of the best buys I have ever made.The sound quality of the Koss Portapro is excellent and slightly better than my Sennheiser PX 100's. They fit very snugly and feel very light when running and that plus the excellent sound quality make them a great buy.One feels very happy when you have paid a small amount of money for great quality and great sound.Now when I'm sitting at my pc and need phones for listening it becomes a bit more of a toss up. The Koss sound quality is great and with a snug fit. The Sennheiser PX 100 although not quite as good sound quality have a very light feel to them.For walking, running and  general moving around - these Koss phones are the way to go.May 2012 Update:These guys are holding up well despite some pretty rugged treatment - highly recommended","07 16, 2011",5.0,B00001P4ZH,"great sound, great quality and  great for running and biking",alchemyiam
"[2, 2]",1319932800,A3ATYUPQYD15TK,"I bought a pair of these while I was in New York - I bought them from one of the big camera/gear brokers there and paid about $35 for them. I bought them because my IEMs are too dangerous to wear on city streets and my AKG K271s are too big to wear out. So, these seemed like a happy medium. They're very durable, they have excellent bass for something this size, and they have a cool retro look. With the lifetime guarantee I'm comforted in the idea of getting them replaced if I should accidentally break them. So far so good though, 6+ months later.","10 30, 2011",5.0,B00001P4ZH,Review #999: Fantastic product,"A. Leonard ""zakool21"""
"[1, 1]",1297728000,ACNAJKU6NPDW,"I've been using this headphone for a few months.For the build - It looked filmsy, but even I haven't been using it very carefully, it's still working well, no parts broken.For the sound quality, the bass is very good, mid-range is good. I hope the high range could be a bit clearer.  Meanwhile, I found that this headphone is quite musical, no harsh high range, and enjoyable to listen to, especially for piano music, easy listening, and jazz music.  Still the high range could be a bit improved; but, at this price range, it's very okay.","02 15, 2011",5.0,B00001P4ZH,Very good to Excellent for this price,A. Leung
"[0, 0]",1402185600,A271VNQZ9NCM42,"Great audio with the headphones, nothing else needs to be said about that.But now that that's said, these headphones can be uncomfortable on larger melons. I find myself pulling them off and switching to my over the ear koss headphones because they don't feel like they're crushing my skull.Also, the cord is by far the WORST part about his set. The cable itself is a little too short for my tastes, about 4 feet. This means I feel tethered to my laptop often. But more importantly is the quality of the cord. The cord itself feels like a wire stuck in a narrow sheet of plastic. The reason that is important is because the wire holds its shape any time its folded or bent. This means that the pretty cool looking pair of headphones now have a cord is sometimes so bent out of shape that it rides up in my face.","06 8, 2014",4.0,B00001P4ZH,A few gripes but good headphones.,Alex
"[1, 1]",1290902400,A3CA8KTWWHA0JI,"I usually use ear buds, or speakers, but I thought I would try these. The bass and the sound response in general are quite good. They are seemingly flimsy, or should I say, light weight, but I have been pretty hard on them and they are still in one piece. I would recommend them over similarly priced ear buds, so long as the style appeals to you.","11 28, 2010",5.0,B00001P4ZH,Surprising Sound for What You Pay,"Allan S. Chamberlain ""ascrrc"""
"[2, 3]",1249948800,AA0IWAA89O93S,"I've been using these headphones since 1996. I've owned many pairs but Koss has a no questions return policy, one time even sending me a new pair because I inquired about replacement ear pads. The sound that these cans put out are second to none. I flirted with Grado's and other expensive headphones but always run back to these. The look is very 80's retro because they are unchanged (by popular demand) since their introduction and they bring warm deep sound to anything you plug them into. Ear buds are for idiots. Step up to a pair of these babies and you'll be stoked at the sound they put out.","08 11, 2009",5.0,B00001P4ZH,Flawless,allstar900
