helpful,unixReviewTime,reviewerID,reviewText,reviewTime,overall,asin,summary,reviewerName
"[1, 1]",1401235200,A202Y9F2VN8KY2,"I'm using this in my home theater to share an single ethernet connection between a DVR, DVD player, and a streaming video player.  It works well for this application.  In a dark room the blinking status lights can be annoying.  If the status lights could be disabled, I'd give it 5 stars (hint, hint, Netgear).","05 28, 2014",4.0,B00002EQCW,Super easy to use and well built,a60490guy
"[0, 0]",1396310400,A1LZUJF8AQ796R,"Fabulous! Worth every penny! I have my Blu-Ray, RUKO and Apple TV all connected and no loss of quality! Excellent!","04 1, 2014",5.0,B00002EQCW,Great Product,ACRA
"[0, 0]",1369267200,A17VA7VAEI0PQK,"Really good experience so far, have had it running 24/7 for ~3 months and has worked very well, can't complain.","05 23, 2013",5.0,B00002EQCW,Reliable and great price,aerqwrgvsdav
"[1, 1]",1301356800,A1435OKJPDTTGP,"these are the best there are, sturdy, simple and work every timei use mine to hardwire first floor of the house for blue rays, desktop and hookup location for work laptopthroughput is great and installation was extremely simplethis design did not change for last 20 years","03 29, 2011",5.0,B00002EQCW,Gold Standard for Switches,ajk
"[3, 3]",1313193600,A1EB93IMG9QWBB,"This device may look simple, and that is because it is. you just hook it up and volia! Internet to all your devices, just don't forget to get a good router!  When it comes to networking I am not the brightest, but these were easy to figure out how to use and so far they work great.  They seem very sturdy and the wall mounts make they easily accessible.  We have two, one connected to the pcs and one that we use to connect all our gaming devices.","08 13, 2011",5.0,B00002EQCW,"Simple, yet perfect","AJoyW ""-2wrongs != right"""
"[0, 2]",1303257600,A1N4UL33MD8BOY,"A perfect good Ethernet switch but I didn't see the it is only 10/100 Mbps. So it is the bottleneck in my network. I now use it as an extra switch if I need additional temporary connections. It states ""Every port supports up to 200 Mbps in dedicated bandwidth"" but I could verify this.Pros:- Very reliable- Small footprintCons:- Only for 10/100 Mbps networks- No indicator light on front (non cable side since this is not rack mounted)- Rubber feet tend to fall off","04 20, 2011",3.0,B00002EQCW,Read the fine print (maybe not so fine),"Alan Waldron ""zBrain"""
"[1, 1]",1266278400,A3VFSX2M29WGA0,"This switch works like a charm.  Zero setup so it was an easy install.  I needed multiple network connections at my entertainment center (HDTV, BD, etc) and my broadband router is in an upstairs study.  Wireless just doesn't do it yet for streaming movies, plus I did not want to buy a wireless adapter for each device.  This was a great investment.","02 16, 2010",5.0,B00002EQCW,Netgear FS105NA,"Alvin Whitney ""AlWhit"""
"[0, 0]",1386633600,A23MY68C1MAZVN,"Works perfectly with our office Wi-Fi system...great buy and not problems at all! I highly recommend it, Netgear is always a good quality buy.","12 10, 2013",5.0,B00002EQCW,Great!,"Amazon Customer ""ALWAYS!"""
"[0, 0]",1309996800,A1SNYIW6EDDE4R,I had one ethernet internet cable coming in to my home theater but needed to hook up my DirectTv DVR and Samsung Blu Ray player.  Worked like a charm.  It has more slots than I needed but may hook the Wii console to the internet some day.....if I figure out why!  Good product and with the $10 rebate it was a very cheap solution to my problem.,"07 7, 2011",5.0,B00002EQCW,Worked Great For Home Theater,Amazon Customer
"[0, 0]",1226793600,A3VHEYLZ0R7LCU,"My old hub died after six years of use, so I bought this to replace it.  It was brain-dead simple to install and it works great.","11 16, 2008",5.0,B00002EQCW,Great product,Amazon Customer
