helpful,unixReviewTime,reviewerID,reviewText,reviewTime,overall,asin,summary,reviewerName
"[0, 0]",1405123200,A20XXTXWF2TCPY,"This is a great buy, compared to a $60 or more a retail store.","07 12, 2014",5.0,0972683275,Excelant mount for Tv. Would buy more if I needed them.,
"[1, 1]",1367280000,A2IDCSC6NVONIZ,This mount is just what I needed.  It is strong and sturdy.  It folds almost flat to enable the television to sit square and flat against the wall if desired and extends and rotates for angle turns.  A perfect fit as long as you match the correct visa pattern for your television.,"04 30, 2013",5.0,0972683275,Perfect,2Cents!
"[0, 1]",1323993600,A1EDI0X3GI1SK7,"Great deal, easy to mount and it appears to be fairly sturdy. I mounted a 32 in tv on it and it works great.","12 16, 2011",5.0,0972683275,32 In TV Mount,AGW
"[0, 0]",1385164800,A3BMUBUC1N77U8,This mount works really well once you get it up and going.  Only problem is just the arms are a little goofy getting them all in the right spot.  But that's really not too big an issue considering all the different TV's and their mounting hole locations.,"11 23, 2013",4.0,0972683275,"Pretty simple, but definitely good!",ahoffoss
"[3, 4]",1283126400,AVRFGGCCCR6QU,"This wall mount does everything it's supposed to do.  The piece that attaches to the wall isn't overly long, which made it easier to mount the arm in the tight space I needed to mount it in.  The only issues I saw was that the joints were VERY tight initially and as we moved the arm around to install it, the joints loosened up to the point where I had to take the included allen wrench and tighten them up again.","08 30, 2010",4.0,0972683275,Fairly good wall mount,"Alberto Dieguez ""premiere purchaser of random..."
"[0, 0]",1368316800,A3UOSOCRKS3WIH,for the price you just cant beat this item. I bought it for a house I was selling so I could hang some tv and it worked great. Good quality for the price.,"05 12, 2013",5.0,0972683275,Cant Beat it!,Allen Coberly
"[0, 0]",1389052800,A371ZZ95ZQEIZV,"I received the mount, which was well packaged for shipping.  The installation instructions were Moderately clear.  No issues following them, they were just a little disjointed depending on the wall surface you were installing on.My shipment had a mis-cut piece, and was missing 4 screws.  I contacted the Manufacturer, and they shipped me a replacement part and screws the very next day (Shipped out of Texas, so normal mailing times applied)I like how the Mount fits together, and I easily mounted my 60lbs TV by myself.  The part that attaches to the TV has a hook that will hold the TV on the Arm till you bolt it on.It's very adjustable, and pushes almost flush with the wall.I'm very happy, but took one star for the miscut piece.","01 7, 2014",4.0,0972683275,"Sturdy Mount, good customer service",Amazon Customer
"[0, 0]",1368835200,A7060R14RJF3I,"Took a bit of work, but used this to fit an older vizio 32&#34; monitor to the wall to use as a compute monitor. Stable and like the ability to move the tv to different angles. The vizio was older and did not have the standard holes, this product fit and holds the tv very stable.","05 18, 2013",4.0,0972683275,Works,Amazon Customer
"[7, 9]",1361404800,A26QCCO0101CO1,I used this for my 47&#34; Samsung. Its fit/feel is great. Easy installation. Appears strong; although I personally spent way too much on the tv to risk leaving it fully outstretched with too little lag bolts for a long time! It is very convenient to be able to move it away from the wall however and I would feel very comfortable tilt or swiveling if needed. The movement is fluid and easily adjustable.I am very pleased with my purchase.,"02 21, 2013",5.0,0972683275,Just what I'd hoped,"Amazon Customer ""jkhinch"""
"[1, 1]",1331942400,APBF796U7GUTV,"This item serves its purpose as well as any other mount.  Its most appealing attribute is its large range of motion.  I am using this to corner-mount a 32"" TV and it works perfectly to hide the mount, receptacles, and cables behind the TV.  Very easy installation as well.","03 17, 2012",5.0,0972683275,Nice Mount,"Amazon Customer ""steve-mc2"""
