Word,Count
feature,500
1amp,474
base,473
type,469
smartphone,420
instead.Besides,400
else,352
Looks,345
retailer,257
4,227
offs,221
functions,200
part,192
stick.I,189
cheapos,184
leak,166
Droid.Yes,160
specs,159
performance,145
Lumia,134
warning,111
Im,98
Charger,92
brand.Also,91
chargers.Cons,90
nuff,82
sun,80
illumination,80
dash,73
Best,70
peformance,69
Color,67
inside,65
QA,65
count,64
engineers,62
weight,58
excuse,56
Love,56
perfect.I,54
ratings,52
better.For,52
Waze,52
reliance,52
drink,51
hot.The,50
PHONES,49
insert,47
order,47
eh?I,46
MIL,46
lot,45
imitations,45
title,45
purchases,45
charges,42
special,41
night,40
's,38
This,35
blur,35
device,34
They,34
light,34
summer,33
verizon,32
slot,32
shipment,32
app,31
little,31
Markings,30
husband,29
rating,28
specifications,27
Amazon,27
We,27
Hotspot,27
Touch,26
source,26
cigarette,26
return,25
thumb,25
No,25
swing,25
super,25
M,24
year,23
charger,23
months.Amazon,22
glass,22
WAAAAAAAAAAAAAAY,22
car,22
complaints,22
picture,22
chargerUpdate,21
handle.Tom,21
second,20
apprehension,20
input,20
cars,19
buyers,19
rate,19
fit,18
white/half,18
Sensation,18
works,18
Sprint,18
number,18
obverse,17
drives,17
plugs,17
people,17
Thought,17
issue,17
clearance,16
work,16
too.Call,16
products,16
states,16
Update,15
Merchant,15
%,15
bonus.Peace,15
distance,15
charging,15
kit,14
lenghth,14
others,14
users,14
chargers,13
Cord,13
cellphones,13
thing,13
Most,13
2.1,13
upset,12
_,12
something,12
lights,12
use,12
fate,11
MICRO,11
Charger.It,11
DVM,11
voltage,11
experiences,11
supply,11
set,11
girlfriend,11
draw,11
manufacturers,11
mode,10
option,10
copy,10
last,10
fry,10
color,9
cover,9
port,9
friends,9
reach,9
plastic,9
space,9
contract,9
delivery,9
features,9
everytime,9
that.It,8
phones.Update,8
circumstances.That,8
changes,8
connectors,8
silly.May,8
Bought,8
Amazon.I,8
lighting,8
MOT,8
devices,8
smartphones,7
Navigation,7
These,7
adapters/chargers,7
X,7
one,7
interaction,7
Nothing,7
half,7
polish,7
sure,7
Nexus,7
morning,7
occasions,7
Ca,7
buyer,7
period,7
waste,7
feeling,6
place,6
cost,6
brand,6
opinion,6
guarantee,6
Others,6
crap,6
every,6
And,6
wonderful.Positives,6
body,6
years,6
bucks,6
anyone,6
overheating,6
pull,5
amount,5
coworker,5
already.I,5
dollar,5
X2,5
brands,5
socket,5
pieces,5
outlet,5
holograms,5
juice,5
amazon,5
interface,5
color.But,5
juice.i,5
vehicles,5
!!,5
tag,5
tip-to-tail,4
places,4
Great,4
hassle,4
protection,4
sticker,4
1st,4
depth,4
That,4
4g,4
months,4
disc,4
inventory,4
condition,4
Rezound,4
center,4
upgrade,4
addition,4
She,4
minutes!Very,4
powers,4
bump,4
stretch,4
cable.cons,4
battery,4
duty,4
THIS,4
cord,4
Reviews,4
quality,4
shines,4
!!!,4
photos,4
blue,4
style,4
Duo,3
connections.As,3
headset,3
P513,3
money,3
cig,3
construction,3
prices,3
recommendation,3
version,3
substitutes,3
Phone,3
3,3
must-have,3
logo,3
Charges,3
easy,3
vacation,3
words,3
motorola,3
current,3
functionality,3
reviews,3
clip,3
break,3
circle,3
!!!!,3
portion,3
August,3
someone,3
Mine,3
gripe,3
life,3
Wow,3
charger?I,3
brightness,3
Pandora,3
ring,3
tooooo,3
running,3
retailers,3
Droid,3
cords,3
future,3
shippers,3
beware,3
REVIEW,3
usb,3
Got,3
three,3
connection,3
providers,3
Plug,3
bad.The,3
plug,3
minutes,3
point,3
line,3
SELLERS,3
&#34;,3
Google,3
dealOverall,2
cases,2
MicroUSB,2
comments,2
output,2
world,2
concerns,2
risk,2
Shipping,2
everything,2
chrgers,2
ends,2
USB.Great,2
look,2
name,2
lamp,2
recharge,2
angle,2
caution,2
touch.Works,2
driver,2
stores,2
shop,2
matches,2
bc,2
amperage,2
Rate,2
sturdy,2
job,2
mom,2
OEM,2
4G,2
pace,2
no-names,2
eyes,2
mine,2
seconds,2
way,2
trip,2
CUTE,2
system,2
many,2
Kinda,2
problems,2
refund.Otherwise,2
vendor,2
travel,2
seat,2
solution,2
fortune,2
droid,2
min,2
.2,2
Plenty,2
outlets,2
Truck,2
phone.I,2
carriers,2
charger.Still,2
interior,2
description,2
LED,2
prongs,2
movement,2
shipping,2
length,2
effect,2
price,2
handling,2
handful,2
degrees,2
end,2
surprise,2
care,2
thief,2
BATTERY,2
IT,1
pruchase,1
size,1
GPS,1
markings,1
days,1
problem,1
station,1
Blackberry,1
volts,1
gadget,1
review,1
usage,1
ETA,1
show,1
eye,1
supplies,1
port.It,1
Powerduo,1
reason,1
rate.Now,1
What,1
two,1
IMO,1
in.So,1
jack,1
styling,1
Cable,1
about.I,1
3D,1
LITTLE,1
10/12I,1
loss,1
Works,1
negatives,1
WAY,1
efficiency,1
connections,1
luck,1
experience,1
phones,1
product,1
none,1
drain,1
YMMV,1
off.it,1
Moto,1
